post_id,customer_id,date,platform,image_url,text_content,topics_of_interest,feedback_on_financial_products,sentiment_score,engagement_level,brands_liked
POST_38,CUST_3,19/03/24,Online,https://example.com/images/book_stack.jpg,Enjoying a good book on this rainy afternoon.  Perfect way to relax. #reading #books #rainyday,"Books,Reading,Hobbies,Entertainment",Neutral,0.0,0.5,Amazon
POST_39,CUST_3,14/03/24,Online,https://example.com/images/utility_bill.jpg,Paying bills online is so much easier than writing checks! #bills #onlinebanking #convenience,"Banking,Utilities,Finance",Positive,0.7,0.3,Florida Power & Light
POST_40,CUST_3,02/03/24,Online,https://example.com/images/angry_emoji.jpg,Still no resolution on that unexpected bank fee from last month. Very disappointed.  Thinking about other options. 😡 #bankfees #unfair,"Banking,Fees,Customer Service",Negative,-0.8,0.5,
POST_41,CUST_3,27/02/24,Offline,https://example.com/images/home_depot.jpg,Needed supplies from the store that I went to get. Always something to fix up around the house. #HomeImprovement,"Home Improvement, shopping",Neutral,0.0,0.4,Home Depot
POST_42,CUST_3,15/02/24,Online,https://example.com/images/florida_sunset.jpg,Another beautiful Florida sunset. Grateful for these moments. #florida #sunset #grateful,"Florida,Nature,Retirement",Neutral,0.0,0.8,
POST_43,CUST_3,26/01/24,Online,https://example.com/images/mad_face.jpg,Unexpected fee on my bank statement!  So frustrating! Need to call them and get this sorted. #bankfees #unhappy,"Banking,Finance,Fees",Negative,-0.9,0.4,
POST_44,CUST_4,12/08/24,Online,https://example.com/images/cityscape1.jpg,NYC skyline never gets old. 🏙️ #NYC #citylife,"City Life,Photography,New York",Neutral,0.0,0.3,
POST_45,CUST_4,11/08/24,Online,https://example.com/images/coffee.jpg,Fueling up for a busy week.  Need all the coffee I can get. ☕ #mondaymotivation #internlife,"Coffee,Work Life,Lifestyle",Neutral,0.0,0.2,Starbucks
POST_46,CUST_4,09/08/24,Online,https://example.com/images/groceries.jpg,Adulting is expensive.  Grocery bill was HOW much?!  At least it's Trader Joe's. 😅 #groceries #adulting #budgeting,"Food,Budgeting,Lifestyle",Neutral,0.0,0.4,Trader Joe's
POST_47,CUST_4,07/08/24,Online,https://example.com/images/frustration.jpg,"Seriously, @MyBank, get your act together!  Another declined transaction, even with funds available.  So embarrassing! #bankingfail #customerservice","Banking,Customer Service,Finance",Negative,-0.9,0.8,
POST_48,CUST_4,04/08/24,Online,https://example.com/images/weekend.jpg,"Finally, the weekend! Time to relax and recharge. #weekendvibes #NYC","Relaxation,Weekend,Lifestyle",Neutral,0.0,0.3,
POST_49,CUST_4,01/08/24,Online,https://example.com/images/phonebill.jpg,"Ugh, that phone bill is always higher than I expect.  Time to cut back on data usage, I guess. 📱 #bills #budgeting #adulting","Budgeting, Bills, Technology",Neutral,0.0,0.1,Verizon
POST_50,CUST_4,30/07/24,Online,https://example.com/images/uber.jpg,Late-night Uber ride... my wallet is crying. 💸 #NYC #uber #latenight,"Transportation,City Life,Expenses",Neutral,0,0.2,Uber
POST_51,CUST_4,28/07/24,Online,https://example.com/images/studentloans.jpg,Anyone else drowning in student loans?  Feels like I'll be paying these off forever. 😭 #studentloans #debt #financialfreedom,"Finance,Student Loans,Debt",Neutral,0.0,0.5,
POST_52,CUST_4,25/07/24,Online,https://example.com/images/dinner.jpg,Splitting dinner with friends is the best...and the cheapest! 😉 #dinner #friends #NYC,"Food,Friends,Social Life",Neutral,0,0.4,
POST_53,CUST_4,23/07/24,Online,https://example.com/images/atm.jpg,"Seriously, the ATM fees are a rip-off!  Need to find a branch of my bank that is actually *near* me. @MyBank #atmfees #banking","Banking,ATM,Fees",Negative,-0.4,0.6,
POST_54,CUST_4,20/07/24,Offline,https://example.com/images/diner.jpg,Classic NYC diner experience. Can't beat a good burger and fries. 🍔🍟 #NYC #diner #foodie,"Food,Restaurants,New York",Neutral,0.0,0.3,
POST_55,CUST_4,18/07/24,Online,https://example.com/images/mta.jpg,The subway during rush hour... a true test of patience. 😓 #MTA #NYC #subwaylife,"Transportation,Commute,City Life",Neutral,0.0,0.2,MTA
POST_56,CUST_4,16/07/24,Online,https://example.com/images/coned.jpg,Just paid my ConEd bill.  Electricity in this city is *expensive*. 💡 #utilities #NYC #bills,"Utilities,Bills,Living Expenses",Neutral,0,0.1,Con Edison
POST_57,CUST_4,14/07/24,Online,https://example.com/images/creditscore.jpg,"Trying to build my credit score, but it's a slow process.  Any tips? #creditscore #finance #adulting","Credit Score,Finance,Personal Finance",Neutral,0.0,0.4,
POST_58,CUST_4,13/07/24,Online,https://example.com/images/apartment.jpg,Rent is due. The biggest expense of the month. 🥲 #rent #NYC #apartmentliving,"Rent,Housing,Living Expenses",Neutral,0.0,0.2,
POST_59,CUST_5,15/07/23,Online,https://example.com/images/data_viz.jpg,Spent the day diving deep into some fascinating new data visualization techniques.  The insights you can pull from seemingly random data are incredible! #DataAnalysis #DataViz,"Data Analysis, Technology, Work",Neutral,0.0,0.7,
POST_60,CUST_5,22/07/23,Online,https://example.com/images/chicago_skyline.jpg,Beautiful day in Chicago!  Enjoying the weather and exploring some new neighborhoods. #Chicago #Summer,"Travel, Local Events, Illinois",Neutral,0.0,0.5,
POST_61,CUST_5,01/08/23,Online,https://example.com/images/etf_chart.jpg,Researching some new Vanguard ETFs for my portfolio.  Long-term growth is the name of the game.  #Investing #ETFs #FinancialPlanning #EarlyRetirement,"Investments, Finance, Retirement",Positive,0.8,0.6,Vanguard
POST_62,CUST_5,18/08/23,Online,https://example.com/images/angry_face.png,"Still Furious about the unathorised transaction on my card last month, Bank hasn't resolved the issue yet inspite of me calling them!","Finance,Banking",Negative,-0.9,0.1,
POST_63,CUST_5,10/08/23,Online,https://example.com/images/restaurant.jpg,Trying out a new restaurant in town.  The food scene here is always surprising me! #Dining #Foodie #Illinois,"Dining, Local Events",Neutral,0.0,0.6,
POST_64,CUST_5,18/08/23,Online,https://example.com/images/tesla_stock.jpg,"Considering adding some $TSLA to my portfolio.  Risky, but the potential upside is significant.  Always doing my due diligence first! #Stocks #Investing #Tesla","Investments, Finance, Technology",Neutral,0.0,0.7,Tesla
POST_65,CUST_5,25/08/23,Online,https://example.com/images/airplane_wing.jpg,Planning a short trip!  Need to recharge and explore somewhere new.  Any recommendations? #Travel #Vacation,Travel,Neutral,0.0,0.8,
POST_66,CUST_5,02/09/23,Online,https://example.com/images/headphones.jpg,Finally upgraded my headphones! The noise cancellation on these Sony's are amazing. Perfect for focusing on work. #Technology #Sony #Productivity,"Technology, Productivity",Neutral,0.0,0.7,Sony
POST_67,CUST_5,09/09/23,Online,https://example.com/images/online_course.jpg,Taking an online course to level up my data analysis skills.  Always learning! #DataAnalysis #Coursera #OnlineLearning,"Data Analysis, Technology, Education",Neutral,0.0,0.6,Coursera
POST_68,CUST_5,16/09/23,Online,https://example.com/images/credit_card.jpg,Really appreciate the rewards I'm getting with my credit card.  Makes travel and dining out a bit more affordable. #CreditCard #Rewards,"Finance, Credit Cards",Positive,0.7,0.5,
POST_69,CUST_5,17/09/23,Online,https://example.com/images/unitedplane.jpg,"Booked flight tickets with United Airlines, they have good deals!","Travel, Airlines",Neutral,0,0.5,United Airlines
POST_70,CUST_5,23/09/23,Online,https://example.com/images/streaming.jpg,Binge-watching a new show on Netflix this weekend.  Time to relax! #Netflix #Streaming #Entertainment,"Entertainment, Streaming",Neutral,0.0,0.6,Netflix
POST_71,CUST_5,30/09/23,Online,https://example.com/images/investment_graph.jpg,Reviewing my investment portfolio performance this quarter.  Staying diversified and focused on the long-term. #Investments #Finance #Portfolio,"Investments, Finance",Positive,0.8,0.7,
POST_72,CUST_5,07/10/23,Offline,https://example.com/images/coffee_shop.jpg,Enjoying a quiet afternoon at my favorite local coffee shop. #Coffee #LocalBusiness,"Dining, Local Events",Neutral,0.0,0.4,
POST_73,CUST_5,14/10/23,Online,https://www.example.com/images/adobe.jpg,Using the new feature in Adobe is exciting. Definitely makes my life easier #adobe,"Software, Technology",Neutral,0.0,0.3,Adobe
