post_id,org_id,date,platform,image_url,text_content,accounts_followed,topics_of_interest,feedback_on_financial_services,sentiment_score,engagement_level,partners_mentioned,post_type
POST_32,ORG_3,22/08/23,Twitter,https://example.com/images/globaltrade/industry_news.jpg,New report shows increased automation in manufacturing is driving productivity gains.  #IndustryNews #Automation #ManufacturingTrends,,"['Industry News', 'Technology Trends', 'Manufacturing']",Not Applicable,7.8,6.9,[],Industry News
POST_33,ORG_3,05/09/23,Facebook,https://example.com/images/globaltrade/product_showcase.jpg,"Introducing our latest line of high-precision components! Designed for maximum efficiency and durability, they're perfect for demanding applications. Learn more: [link to product page] #Manufacturing #NewProduct #Innovation",,"['Product Promotion', 'Manufacturing']",Not Applicable,8.5,7.2,[],Promotion
POST_34,ORG_3,12/09/23,LinkedIn,https://example.com/images/globaltrade/partnership.jpg,We're excited to announce our partnership with TechSolutions Inc. to enhance our supply chain efficiency!  #Partnership #SupplyChain #Manufacturing,,"['Partnership', 'Supply Chain', 'Manufacturing']",Not Applicable,8.8,7.8,['TechSolutions Inc.'],Announcement
POST_35,ORG_3,19/09/23,Twitter,https://example.com/images/globaltrade/texas.jpg,"Proud to be a Texas-based manufacturer, contributing to the state's robust economy. #Texas #Manufacturing #MadeInTexas",,"['Community', 'Manufacturing']",Not Applicable,8.0,6.5,[],Community
POST_36,ORG_3,26/09/23,Company Blog,https://example.com/images/globaltrade/blog_finance.jpg,"Navigating the current financial landscape as a large manufacturer presents unique challenges.  Streamlining processes and finding the right financial partners are key. While our current banking relationships are functional, there's room for improvement in service responsiveness.",,"['Finance', 'Manufacturing', 'Business Operations']",Neutral,6.3,5.8,[],Financial
POST_37,ORG_3,03/10/23,Instagram,https://example.com/images/globaltrade/team.jpg,Meet our dedicated team of engineers! They're the driving force behind our innovative solutions. #TeamSpotlight #Manufacturing #Engineering,,"['Company Culture', 'Manufacturing']",Not Applicable,9.0,8.2,[],Community
POST_38,ORG_3,10/10/23,LinkedIn,https://example.com/images/globaltrade/sustainability.jpg,Global Trade Manufacturing is committed to sustainable manufacturing practices. We're constantly seeking ways to reduce our environmental impact. #Sustainability #Manufacturing #GoGreen,,"['Sustainability', 'Manufacturing', 'Environment']",Not Applicable,8.6,7.5,[],Community
POST_39,ORG_3,17/10/23,Twitter,https://example.com/images/globaltrade/financial_report.jpg,"Our Q3 earnings report shows solid growth, in-line with the credit rating.  Seeking more competitive financing options to maximize future potential. #Finance #Manufacturing #Earnings",,"['Finance', 'Manufacturing']",Negative,5.8,5.1,[],Financial
POST_40,ORG_3,24/10/23,Facebook,https://example.com/images/globaltrade/customer_testimonial.jpg,"""Global Trade Manufacturing has been a reliable partner for years. Their products are top-notch and their service is excellent."" -  Acme Corp.  #CustomerTestimonial #Manufacturing",,"['Customer Testimonial', 'Manufacturing']",Not Applicable,9.4,8.7,['Acme Corp.'],Promotion
POST_41,ORG_3,31/10/23,Instagram,https://example.com/images/globaltrade/factory_floor.jpg,A glimpse into our state-of-the-art manufacturing facility. #Manufacturing #Technology #BehindTheScenes,,"['Technology', 'Manufacturing']",Not Applicable,7.6,7.2,[],Industry News
POST_42,ORG_3,07/11/23,LinkedIn,https://example.com/images/globaltrade/hiring.jpg,We're growing! Global Trade Manufacturing is looking for talented individuals to join our team. Visit our careers page to learn more: [link] #Hiring #ManufacturingJobs #Careers,,"['Hiring', 'Manufacturing', 'Careers']",Not Applicable,8.2,7.0,[],Hiring
POST_43,ORG_3,14/11/23,Twitter,https://example.com/images/globaltrade/industry_event.jpg,Attending the National Manufacturing Expo next week! Come visit us at booth #42. #ManufacturingExpo #IndustryEvent,,"['Industry Event', 'Manufacturing']",Not Applicable,7.9,6.8,[],Industry News
POST_44,ORG_3,21/11/23,LinkedIn,https://example.com/images/globaltrade/cybersecurity.jpg,Data security is paramount. We've invested heavily in robust cybersecurity measures to protect our clients' and our own data. #Cybersecurity #DataProtection #Manufacturing,,"['Cybersecurity', 'Data Protection', 'Manufacturing']",Not Applicable,8.4,7.1,[],Announcement
POST_45,ORG_3,01/12/23,Company Blog,https://example.com/images/globaltrade/innovation.jpg,"At Global Trade Manufacturing, innovation constantly drives our business forward. Banking services supporting innovation funding is always appreciated, although consistent service levels remain as a key area for progress in our financier relationships. #Innovation #Manufacturing",,"['Manufacturing', 'Finance', 'Innovation']",Neutral,6.5,5.6,[],Financial
POST_46,ORG_4,12/07/23,Facebook,https://example.com/images/freshfoods/summer_sale.jpg,"Beat the heat with FreshFoods Market's Summer Sale! ☀️ Enjoy up to 30% off on fresh produce, deli items, and more. Visit your local New York store today! #SummerSale #FreshFoodsMarket #NYCFood",,"['Product Promotion', 'Local Business', 'Seasonal Offers']",Not Applicable,8.5,7.8,[],Promotion
POST_47,ORG_4,28/07/23,Instagram,https://example.com/images/freshfoods/organic_produce.jpg,Go organic with FreshFoods! We're expanding our selection of certified organic fruits and vegetables. 🍎🥕 Support sustainable farming and a healthier you! #OrganicFood #FreshFoodsMarket #NYCFoodie #EatLocal,,"['Sustainability', 'Product Promotion', 'Healthy Living']",Not Applicable,9.2,8.5,[],Promotion
POST_48,ORG_4,05/08/23,Twitter,https://example.com/images/freshfoods/community.jpg,FreshFoods Market is proud to sponsor the local NYC Food Bank drive this month. Let's fight hunger together! #CommunitySupport #NYCFoodBank #FreshFoodsCares,,"['Community', 'Social Responsibility']",Not Applicable,8.9,7.2,['NYC Food Bank'],Community
POST_49,ORG_4,19/08/23,LinkedIn,https://example.com/images/freshfoods/team.jpg,We're growing our team! FreshFoods Market is hiring for multiple positions in our New York locations. Check out our careers page for details and apply today! #NYJobs #RetailCareers #FreshFoodsMarket,,"['Hiring', 'Company Growth', 'Local Business']",Not Applicable,7.8,6.5,[],Hiring
POST_50,ORG_4,02/09/23,Facebook,https://example.com/images/freshfoods/new_product.jpg,"Introducing our new line of artisanal cheeses! 🧀  Handcrafted and locally sourced, these cheeses are a must-try.  Available now at all FreshFoods Market locations in New York. #ArtisanalCheese #NYCFood #ShopLocal",,"['Product Promotion', 'Local Business']",Not Applicable,8.1,7.5,[],Promotion
POST_51,ORG_4,15/09/23,Instagram,https://example.com/images/freshfoods/fall_harvest.jpg,"🍂 Fall is in the air! 🍂  Get ready for the season with our fresh selection of pumpkins, apples, and gourds. #FallHarvest #FreshFoodsMarket #NYCFall #AutumnVibes",,"['Seasonal Offers', 'Product Promotion']",Not Applicable,9.0,8.7,[],Promotion
POST_52,ORG_4,29/09/23,Twitter,https://example.com/images/freshfoods/local_farmers.jpg,Supporting local farmers is important to us!  Learn about the families behind the fresh produce at FreshFoods Market. #SupportLocal #NYCFarmers #FreshFoods,,"['Local Business', 'Sustainability']",Not Applicable,8.3,7.0,[],Community
POST_53,ORG_4,11/10/23,Company Blog,https://example.com/images/freshfoods/blog_finances.jpg,"Navigating the financial landscape as a growing business in NYC presents its challenges.  Streamlining our banking processes has been a learning curve, with mixed results.  We are constantly exploring options to improve.",,"['Finance', 'Small Business', 'Local Business', 'Banking']",Neutral,6.8,5.5,[],Financial
POST_54,ORG_4,22/10/23,Facebook,https://example.com/images/freshfoods/halloween.jpg,🎃 Happy Halloween from FreshFoods Market! 🎃  Stock up on spooky treats and festive goodies for your celebrations. #Halloween #FreshFoodsMarket #NYCFood,,"['Seasonal Offers', 'Product Promotion']",Not Applicable,8.7,7.9,[],Promotion
POST_55,ORG_4,05/11/23,LinkedIn,https://example.com/images/freshfoods/expansion.jpg,"FreshFoods Market is excited to announce our plans for expansion within New York City!  We're committed to bringing fresh, quality food to more communities. #Growth #NYCBiz #FreshFoodsMarket",,"['Company Growth', 'Local Business', 'Expansion']",Not Applicable,8.4,7.1,[],Announcement
POST_56,ORG_4,18/11/23,Twitter,https://example.com/images/freshfoods/thanksgiving.jpg,Get ready for Thanksgiving with FreshFoods!  We have everything you need for a delicious holiday feast. Pre-order your turkey today! #Thanksgiving #FreshFoods #NYC,,"['Seasonal Offers', 'Product Promotion']",Not Applicable,8.6,7.6,[],Promotion
POST_57,ORG_4,02/12/23,Instagram,https://example.com/images/freshfoods/holiday_decor.jpg,"✨ The holiday season is here! ✨  Visit FreshFoods Market for festive decorations, gifts, and delicious treats. #HolidaySeason #FreshFoodsMarket #NYCGifts",,"['Seasonal Offers', 'Product Promotion']",Not Applicable,9.1,8.8,[],Promotion
POST_58,ORG_4,16/12/23,Facebook,https://example.com/corporate/community_event.jpg,FreshFoods Market is partnering with @LocalBakeryNYC to bring you freshly baked holiday treats! Support local businesses this season. #ShopLocal #CommunityPartners #NYCFood,,"['Partnerships', 'Community', 'Local Business']",Not Applicable,8.2,7.4,['LocalBakeryNYC'],Community
POST_59,ORG_4,23/12/23,Twitter,https://example.com/images/freshfoods/banking_woes.jpg,Dealing with inconsistent online banking portals is a constant headache.  Hoping for better tech solutions in the new year! #SmallBizProblems #BankingTech,,"['Finance', 'Technology', 'Banking']",Negative,4.5,3.2,[],Financial
POST_60,ORG_4,30/12/23,Instagram,https://example.com/images/freshfoods/customer.jpg,"Thank you to our amazing customers! Because of your support, we're looking at great growth for next year!",,['Customer Appreciation'],Not applicable,9.1,8.0,[],Community
POST_61,ORG_5,15/09/23,LinkedIn,https://example.com/images/elitefinancial/anniversary.jpg,Elite Financial Advisors proudly celebrates 15 years of providing expert financial guidance in Illinois! We're grateful for our clients' trust and our team's dedication. Here's to many more years of success!,,"['Company News', 'Finance', 'Anniversary']",Not Applicable,9.2,8.5,[],Announcement
POST_62,ORG_5,22/09/23,Twitter,https://example.com/images/elitefinancial/marketupdate.jpg,"Market volatility continues, but our low-risk strategies are designed to weather the storm. Stay informed with Elite Financial Advisors. #Finance #MarketUpdate #Investment",,"['Industry News', 'Finance', 'Investment']",Not Applicable,7.8,6.9,[],Industry News
POST_63,ORG_5,01/10/23,Facebook,https://example.com/images/elitefinancial/retirementplanning.jpg,Planning for retirement can be complex.  Elite Financial Advisors offers personalized retirement plans to help you achieve your goals.  Learn more and schedule a consultation: [link to website],,"['Finance', 'Retirement Planning', 'Financial Planning']",Not Applicable,8.1,7.2,[],Promotion
POST_64,ORG_5,10/10/23,Instagram,https://example.com/images/elitefinancial/team.jpg,Meet the dedicated team at Elite Financial Advisors! Our experienced advisors are committed to providing exceptional service. #FinancialAdvisors #Illinois #Team,,"['Company News', 'Team', 'Financial Advisors']",Not Applicable,8.5,7.8,[],Community
POST_65,ORG_5,28/10/23,LinkedIn,https://example.com/images/elitefinancial/webinar.jpg,"Join our upcoming webinar on ""Tax-Efficient Investing Strategies."" Register now to secure your spot! [link to registration] #TaxPlanning #Investing #Webinar",,"['Finance', 'Investment', 'Tax Planning']",Not Applicable,8.3,7.5,[],Promotion
POST_66,ORG_5,05/11/23,Twitter,https://example.com/images/elitefinancial/banking.jpg,Positive banking relationships are crucial for financial stability. Elite Financial Advisors values our strong partnerships in the financial sector. #Banking #Finance #Partnerships,,"['Finance', 'Banking']",Positive,8.8,7.1,[],Financial
POST_67,ORG_5,18/11/23,Company Blog,https://example.com/images/elitefinancial/blogpost.jpg,Understanding the Impact of Inflation on Your Investments: Learn how to protect your portfolio in our latest blog post. [link to blog post],,"['Finance', 'Investment', 'Inflation', 'Industry News']",Not Applicable,8.0,7.4,[],Industry News
POST_68,ORG_5,02/12/23,Facebook,https://example.com/images/elitefinancial/community_event.jpg,Elite Financial Advisors is proud to sponsor the local Illinois Chamber of Commerce annual gala. We're committed to supporting our community! #Community #Illinois,,"['Community', 'Local Business']",Not Applicable,9.0,8.2,['Local Chamber of Commerce'],Community
POST_69,ORG_5,15/12/23,LinkedIn,https://example.com/images/elitefinancial/yearend.jpg,Year-end financial planning is crucial. Contact Elite Financial Advisors to review your portfolio and make strategic adjustments. #FinancialPlanning #YearEnd,,"['Finance', 'Financial Planning']",Not Applicable,8.2,7.0,[],Promotion
POST_70,ORG_5,05/01/24,Twitter,https://example.com/images/elitefinancial/newyear.jpg,Happy New Year! Elite Financial Advisors wishes you a prosperous 2024. Let's achieve your financial goals together! #NewYear #FinancialGoals,,"['Finance', 'Company News']",Not Applicable,9.1,8.0,[],Announcement
POST_71,ORG_5,17/01/24,Instagram,https://example.com/images/elitefinancial/testimonial.jpg,"""Elite Financial Advisors has been instrumental in helping me achieve my financial goals. Their expertise and personalized approach are unmatched."" - Satisfied Client #ClientTestimonial #FinancialSuccess",,"['Finance', 'Client Success']",Not Applicable,9.3,8.7,[],Community
POST_72,ORG_5,29/01/24,LinkedIn,https://example.com/images/elitefinancial/partnership.jpg,We're excited to announce a new partnership with TechFin Solutions to enhance our digital financial services. This collaboration will bring cutting-edge technology to our clients.,,"['Partnerships', 'Technology', 'Finance']",Not Applicable,8.9,8.3,['TechFin Solutions'],Announcement
POST_73,ORG_5,08/02/24,Twitter,https://example.com/images/elitefinancial/creditrating.jpg,Maintaining a AAA credit rating reflects our commitment to financial stability and responsible management. #CreditRating #Finance #FinancialStrength,,"['Finance', 'Company News']",Not Applicable,8.7,7.2,[],Announcement
POST_74,ORG_5,15/02/24,Facebook,https://example.com/images/elitefinancial/aaa-credit.jpg,Elite Financial Advisors is proud of its consistent AAA credit rating. It is a reflection of our hard work and client commitment. Contact us today to discover our services that led to that! [link to website],,"['Company News', 'Financial Planning', 'Finance']",Not Applicable,9.0,6.8,[],Promotion
POST_75,ORG_5,22/02/24,LinkedIn,https://example.com/images/elitefinancial/hiring.jpg,We're growing! Elite Financial Advisors is seeking a talented Financial Analyst to join our team in Illinois. Apply now: [link to job posting],,"['Hiring', 'Careers', 'Finance']",Not Applicable,8.4,7.6,[],Hiring
